CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,Room_Efficiency,Location_Convenience,Quiet_Livability,Edu_Tax_Balance,Composite_Risk,River_Premium_Factor,Highway_Grade_Score
0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296.0,15.3,396.9,4.98,24.0,22.21283783783784,1.5910000000000002,1.0461013176577454,-0.506756756756758,0.40449472651459406,0.0,5
0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242.0,17.8,396.9,9.14,21.6,26.533057851239672,3.00658,1.1600079540759365,-5.785123966942151,0.3775456273875145,0.0,4
0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242.0,17.8,392.83,4.03,34.7,29.6900826446281,3.00658,0.8356873701668558,-5.785123966942151,0.2365409875812991,0.0,4
0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222.0,18.7,394.63,2.94,33.4,31.52252252252252,4.18134,0.6254068466548072,-8.333333333333332,0.18388707800735538,0.0,3
0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222.0,18.7,396.9,5.33,36.2,32.193693693693696,4.18134,0.7778648278898737,-8.333333333333332,0.25024857973664416,0.0,3
0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222.0,18.7,394.12,5.21,28.7,28.963963963963963,4.18134,0.8208975448949412,-8.333333333333332,0.24649672290986602,0.0,3
0.08829,12,7.87,0,0.524,6.012,66.6,5.5605,5,311.0,15.2,395.6,12.43,22.9,19.331189710610932,7.2197499999999994,1.2372868103741503,-0.32154340836012746,0.582183416623848,0.0,1
0.14455,12,7.87,0,0.524,6.172,96.1,5.9505,5,311.0,15.2,396.9,19.15,27.1,19.845659163987136,7.02475,1.7265277785847069,-0.32154340836012746,0.7682462290353655,0.0,1
0.21124,12,7.87,0,0.524,5.631,100.0,6.0821,5,311.0,15.2,386.63,29.93,16.5,18.106109324758844,6.95895,2.064153925816913,-0.32154340836012746,1.066457177209407,0.0,1
0.17004,12,7.87,0,0.524,6.004,85.9,6.5921,5,311.0,15.2,386.71,17.1,18.9,19.30546623794212,6.70395,1.5649141056911016,-0.32154340836012746,0.7119654015712433,0.0,1
0.22489,12,7.87,0,0.524,6.377,94.3,6.3467,5,311.0,15.2,392.52,20.45,15.0,20.5048231511254,6.82665,1.7438621531513334,-0.32154340836012746,0.8050211959447958,0.0,1
0.11747,12,7.87,0,0.524,6.009,82.9,6.2267,5,311.0,15.2,396.9,13.27,18.9,19.321543408360128,6.8866499999999995,1.4283337954581425,-0.32154340836012746,0.6056902007353855,0.0,1
0.09378,12,7.87,0,0.524,5.889,39.0,5.4509,5,311.0,15.2,390.5,15.71,21.7,18.935691318327976,7.27455,1.0435514882397587,-0.32154340836012746,0.6727528491694901,0.0,1
0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307.0,21.0,396.9,8.26,20.4,19.377850162866448,6.117000000000001,1.1015935959353,-9.77198697068404,0.502009768068588,0.0,2
0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307.0,21.0,380.02,10.26,18.2,19.85667752442997,6.2152400000000005,1.3905608425552702,-9.77198697068404,0.5572895720606112,0.0,2
0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307.0,21.0,395.62,8.47,19.9,19.003257328990227,6.20056,1.0528053936996038,-9.77198697068404,0.507777831826765,0.0,2
1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307.0,21.0,386.85,6.58,23.1,19.332247557003257,6.20056,0.7205294918847207,-9.77198697068404,0.4604197207044822,0.0,2
0.7842,0,8.14,0,0.538,5.99,81.7,4.2579,4,307.0,21.0,386.75,14.67,17.5,19.5114006514658,6.29684,1.483413332989792,-9.77198697068404,0.6806220161230778,0.0,2
0.80271,0,8.14,0,0.538,5.456,36.6,3.7965,4,307.0,21.0,288.99,11.69,20.2,17.77198697068404,6.4814,0.936714133466304,-9.77198697068404,0.5986004834862484,0.0,2
0.7258,0,8.14,0,0.538,5.727,69.5,3.7965,4,307.0,21.0,390.95,11.28,18.2,18.654723127035833,6.4814,1.2642266203087982,-9.77198697068404,0.5864225678460708,0.0,2
1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307.0,21.0,376.57,21.02,13.6,18.143322475570034,6.480840000000001,1.8275321267960454,-9.77198697068404,0.8610983655360519,0.0,2
0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307.0,21.0,392.53,13.83,19.6,19.429967426710096,6.39508,1.5374744838481273,-9.77198697068404,0.6582057134194055,0.0,2
1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307.0,21.0,396.9,18.72,15.2,20.006514657980457,6.4092400000000005,1.6981549116176828,-9.77198697068404,0.7974154297297668,0.0,2
0.98843,0,8.14,0,0.538,5.813,100.0,4.0952,4,307.0,21.0,394.54,19.88,14.5,18.934853420195438,6.3619200000000005,1.8156426293843513,-9.77198697068404,0.8266813089914272,0.0,2
0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307.0,21.0,394.33,16.3,15.6,19.296416938110752,6.24016,1.6560946564927916,-9.77198697068404,0.7252184636510386,0.0,2
0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307.0,21.0,303.42,16.51,13.9,18.237785016286647,6.218160000000001,1.5753806046175487,-9.77198697068404,0.7320278910707154,0.0,2
0.67191,0,8.14,0,0.538,5.813,90.3,4.682,4,307.0,21.0,376.88,14.81,16.6,18.934853420195438,6.1272,1.575844953744436,-9.77198697068404,0.6832230382547427,0.0,2
0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307.0,21.0,306.38,17.28,14.8,19.697068403908794,6.218640000000001,1.628553694875197,-9.77198697068404,0.7545702891061361,0.0,2
0.77299,0,8.14,0,0.538,6.495,94.4,4.4547,4,307.0,21.0,387.94,12.8,18.4,21.156351791530945,6.218120000000001,1.5626058883990899,-9.77198697068404,0.6288955769247759,0.0,2
1.00245,0,8.14,0,0.538,6.674,87.3,4.239,4,307.0,21.0,380.23,11.98,21.0,21.73941368078176,6.3044,1.4668584624960246,-9.77198697068404,0.6088477204331917,0.0,2
1.13081,0,8.14,0,0.538,5.713,94.1,4.233,4,307.0,21.0,360.17,22.6,12.7,18.60912052117264,6.3068,1.8299357160954406,-9.77198697068404,0.903336813500679,0.0,2
1.35472,0,8.14,0,0.538,6.072,100.0,4.175,4,307.0,21.0,376.73,13.04,14.5,19.778501628664497,6.33,1.6269009075300467,-9.77198697068404,0.6420565984222901,0.0,2
1.38799,0,8.14,0,0.538,5.95,82.0,3.99,4,307.0,21.0,232.6,27.71,13.2,19.381107491856678,6.404,1.8463263309005051,-9.77198697068404,1.0472318697039942,0.0,2
1.15172,0,8.14,0,0.538,5.701,95.0,3.7872,4,307.0,21.0,358.77,18.35,13.1,18.5700325732899,6.485120000000001,1.7219307804677568,-9.77198697068404,0.7862981061748193,0.0,2
1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,4,307.0,21.0,248.31,20.34,13.5,19.85667752442997,6.496080000000001,1.7964099364776962,-9.77198697068404,0.8463924587799464,0.0,2
0.06417,0,5.96,0,0.499,5.933,68.2,3.3603,5,279.0,19.2,396.9,9.68,18.9,21.265232974910393,8.31985,1.1264413368270136,-7.526881720430105,0.4545889822137199,0.0,1
0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,279.0,19.2,377.56,11.41,20.0,20.93548387096774,8.31105,1.1041477476867587,-7.526881720430105,0.5027002358353798,0.0,1
0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279.0,19.2,396.9,8.77,21.0,20.96774193548387,8.0329,0.8263567082040107,-7.526881720430105,0.4296581058873138,0.0,1
0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,5,279.0,19.2,393.43,10.13,24.7,21.383512544802866,8.07635,0.74750943075626,-7.526881720430105,0.46825246522289793,0.0,1
0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252.0,18.3,395.63,4.32,30.8,26.17063492063492,4.37967,0.3545900536146174,-6.547619047619049,0.16018487668714637,0.0,3
0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,252.0,18.3,395.62,1.98,34.9,27.873015873015873,4.37967,0.22822855014649204,-6.547619047619049,0.09568232922631165,0.0,3
0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233.0,17.9,385.41,4.84,26.6,29.055793991416305,4.283729999999999,0.21544640667157225,-6.223175965665233,0.21680776626877524,0.0,3
0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233.0,17.9,383.37,5.81,25.3,26.476394849785404,4.283729999999999,0.2803174574305586,-6.223175965665233,0.2437318016938315,0.0,3
0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233.0,17.9,394.46,7.44,24.7,26.65665236051502,4.283729999999999,0.3242655162579662,-6.223175965665233,0.28891046873248505,0.0,3
0.12269,0,6.91,0,0.448,6.069,40.0,5.7209,3,233.0,17.9,389.39,9.55,21.2,26.04721030042918,4.283729999999999,0.7274936236459484,-6.223175965665233,0.34672126483124877,0.0,3
0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,233.0,17.9,396.9,10.21,19.3,24.386266094420602,4.46988,0.681853844896656,-6.223175965665233,0.36548089881193935,0.0,3
0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233.0,17.9,396.9,14.15,20.0,24.83261802575107,4.46988,0.7854241611087492,-6.223175965665233,0.4743909471267153,0.0,3
0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233.0,17.9,392.74,18.8,16.6,25.879828326180256,4.29318,1.451325532672168,-6.223175965665233,0.6031620239412017,0.0,3
0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233.0,17.9,396.9,30.81,14.4,23.171673819742487,4.239,1.8836541781822471,-6.223175965665233,0.9348402880144013,0.0,3
0.21977,0,6.91,0,0.448,5.602,62.0,6.0877,3,233.0,17.9,396.9,16.2,19.4,24.042918454935624,4.17369,1.137563065722231,-6.223175965665233,0.5313113168718882,0.0,3
0.08873,21,5.64,0,0.439,5.963,45.7,6.8147,4,243.0,16.8,395.56,13.45,19.7,24.53909465020576,5.27412,0.875293367859235,-3.703703703703705,0.43543693814043577,0.0,2
0.04337,21,5.64,0,0.439,6.115,63.0,6.8147,4,243.0,16.8,393.97,9.43,20.5,25.164609053497944,5.27412,0.9425330538523735,-3.703703703703705,0.3239999503591375,0.0,2
0.0536,21,5.64,0,0.439,6.511,21.1,6.8147,4,243.0,16.8,396.9,5.28,25.0,26.794238683127574,5.27412,0.3965048018739168,-3.703703703703705,0.20960058430674794,0.0,2
0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243.0,16.8,396.9,8.43,23.4,24.683127572016463,5.27412,0.4865149300274555,-3.703703703703705,0.2964785154218653,0.0,2
0.0136,75,4.0,0,0.41,5.888,47.6,7.3197,3,469.0,21.1,396.9,14.8,18.9,12.554371002132196,3.8040899999999995,0.8724416978260598,-6.503198294243072,0.41217336879088823,0.0,3
0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226.0,17.9,395.93,4.81,35.4,32.07522123893805,5.6517,0.3177005618163434,-6.41592920353982,0.12210231747233137,0.0,1
0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,313.0,17.3,396.9,5.77,24.7,20.39297124600639,2.16248,0.5007154444244326,-3.6741214057508,0.16307929968473578,0.0,4
0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256.0,15.1,392.9,3.95,31.6,26.625,5.8376,0.5019858806767079,-0.1953124999999993,0.1148461386036761,0.0,1
0.15445,25,5.13,0,0.453,6.145,29.2,7.8148,8,284.0,19.7,390.68,6.86,23.3,21.637323943661972,9.74816,0.5523287757414255,-8.274647887323944,0.283138932348901,0.0,-2
0.10328,25,5.13,0,0.453,5.927,47.2,6.932,8,284.0,19.7,396.9,9.22,19.6,20.869718309859156,10.4544,0.8028260896778103,-8.274647887323944,0.34768520668984315,0.0,-2
0.14932,25,5.13,0,0.453,5.741,66.2,7.2254,8,284.0,19.7,395.11,13.15,18.7,20.214788732394368,10.21968,1.1069443605939817,-8.274647887323944,0.4566463937985799,0.0,-2
0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284.0,19.7,378.08,14.44,16.0,21.007042253521128,10.545200000000001,1.4226639710181366,-8.274647887323944,0.49249407849027566,0.0,-2
0.11027,25,5.13,0,0.453,6.456,67.8,7.2255,8,284.0,19.7,396.9,6.73,22.2,22.732394366197187,10.2196,0.9462699005916629,-8.274647887323944,0.27905516333298686,0.0,-2
0.1265,25,5.13,0,0.453,6.762,43.4,7.9809,8,284.0,19.7,395.58,9.5,25.0,23.80985915492958,9.61528,0.7714174465321034,-8.274647887323944,0.3556724632070278,0.0,-2
0.01951,17,1.38,0,0.4161,7.104,59.5,9.2229,3,216.0,18.6,393.24,8.05,33.0,32.88888888888889,3.23313,0.8212889279807464,-8.333333333333337,0.23853295794947277,0.0,3
0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,337.0,16.1,396.9,4.67,23.5,18.6646884272997,5.3554,0.2613248505012911,-1.632047477744809,0.10820659669052676,0.0,2
0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337.0,16.1,396.9,10.24,19.4,17.172106824925816,5.3554,0.5519946158600506,-1.632047477744809,0.2619935245176609,0.0,2
0.05789,12,6.07,0,0.409,5.878,21.4,6.498,4,345.0,18.9,396.21,8.1,22.0,17.03768115942029,5.4008,0.4156805747008263,-5.652173913043477,0.2257349773470972,0.0,2
0.13554,12,6.07,0,0.409,5.594,36.8,6.498,4,345.0,18.9,396.9,13.09,17.4,16.21449275362319,5.4008,0.7119731135140477,-5.652173913043477,0.36430090135808363,0.0,2
0.12816,12,6.07,0,0.409,5.885,33.0,6.498,4,345.0,18.9,396.9,8.79,20.9,17.057971014492754,5.4008,0.5541847794191136,-5.652173913043477,0.2455645303038941,0.0,2
0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305.0,19.2,383.73,6.72,24.2,21.03934426229508,5.88508,0.2334113718011469,-6.885245901639343,0.19622731130092008,0.0,2
0.15876,0,10.81,0,0.413,5.961,17.5,5.2873,4,305.0,19.2,376.94,9.88,21.7,19.544262295081968,5.88508,0.4328632465894333,-6.885245901639343,0.28421618229409484,0.0,2
0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305.0,19.2,390.91,5.52,22.8,19.885245901639347,5.88508,0.2126571824285468,-6.885245901639343,0.16315271890452376,0.0,2
0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305.0,19.2,377.17,7.54,23.4,20.475409836065573,5.88508,0.25191883889885686,-6.885245901639343,0.22005835823852937,0.0,2
0.07896,0,12.83,0,0.437,6.273,6.0,4.2515,5,398.0,18.7,394.92,6.78,24.1,15.761306532663315,7.87425,0.27827052028517407,-4.64824120603015,0.24716112673166438,0.0,1
0.09512,0,12.83,0,0.437,6.286,45.0,4.5026,5,398.0,18.7,383.23,8.94,21.4,15.79396984924623,7.7486999999999995,0.7395209550796442,-4.64824120603015,0.30694541024200883,0.0,1
0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398.0,18.7,373.66,11.97,20.0,15.776381909547737,7.9739,1.1269407312372204,-4.64824120603015,0.39062672861969616,0.0,1
0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398.0,18.7,386.96,10.27,20.8,15.427135678391958,7.954750000000001,0.7844596632683303,-4.64824120603015,0.34355470943236277,0.0,1
0.05646,0,12.83,0,0.437,6.232,53.7,5.0141,5,398.0,18.7,386.4,12.34,21.2,15.658291457286431,7.49295,0.9229382918413176,-4.64824120603015,0.40032986571064033,0.0,1
0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398.0,18.7,396.06,9.1,20.3,14.758793969849245,7.7486999999999995,0.6574272122551739,-4.64824120603015,0.3112339739919825,0.0,1
0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281.0,19.0,396.9,5.29,28.0,23.93950177935943,5.83972,0.4977351674285341,-7.117437722419928,0.18298739150977358,0.0,2
0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,281.0,19.0,395.63,7.22,23.9,23.55516014234875,5.83972,0.9310118353910588,-7.117437722419928,0.23628268890848914,0.0,2
0.03659,25,4.86,0,0.426,6.302,32.2,5.4007,4,281.0,19.0,396.9,6.72,24.8,22.427046263345193,5.83972,0.5238060690501753,-7.117437722419928,0.2223955241522991,0.0,2
0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,281.0,19.0,390.64,7.51,22.9,21.94661921708185,5.83972,0.6949357730716548,-7.117437722419928,0.24418250221048643,0.0,2
0.05059,0,4.49,0,0.449,6.389,48.0,4.7794,3,247.0,18.5,396.9,9.62,23.9,25.866396761133604,4.56618,0.81387209353597,-7.08502024291498,0.3499000587126567,0.0,3
0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247.0,18.5,392.3,6.53,26.6,26.842105263157894,4.66869,0.812026348383502,-7.08502024291498,0.2647111388205264,0.0,3
0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247.0,18.5,395.99,12.86,22.5,24.35222672064777,4.67184,0.8734099496411662,-7.08502024291498,0.43931853151156336,0.0,3
0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247.0,18.5,395.15,8.44,22.2,24.781376518218625,4.87572,0.8719396054658206,-7.08502024291498,0.31757448806694655,0.0,3
0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270.0,17.8,396.9,5.5,23.6,25.95185185185185,3.31566,1.17692880903462,-5.185185185185186,0.3185856021962435,0.0,4
0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270.0,17.8,396.06,5.7,28.7,26.218518518518515,3.3171,0.9435186335936305,-5.185185185185186,0.3240641276563136,0.0,4
0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270.0,17.8,392.18,8.81,22.6,23.766666666666666,3.3815399999999998,1.060231394157715,-5.185185185185186,0.4098114429882932,0.0,4
0.03932,0,3.41,0,0.489,6.405,73.9,3.0921,2,270.0,17.8,393.55,8.2,22.0,23.72222222222222,3.3815800000000005,1.1237287217347107,-5.185185185185186,0.39289469042083874,0.0,4
0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270.0,18.2,395.01,8.16,22.9,23.859259259259257,6.53364,0.8621218179240601,-5.925925925925924,0.34038106818995173,0.0,2
0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270.0,18.2,396.33,6.21,25.0,23.003703703703703,6.53364,0.5539369399052224,-5.925925925925924,0.28642385717197605,0.0,2
0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270.0,18.2,396.9,10.59,20.6,23.144444444444442,6.553999999999999,1.1732530678814332,-5.925925925925924,0.4074442765029953,0.0,2
0.12204,0,2.89,0,0.445,6.625,57.8,3.4952,2,276.0,18.0,357.98,6.65,28.4,24.003623188405793,3.30096,0.8246148779826311,-5.434782608695651,0.2605190444266074,0.0,4
0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276.0,18.0,391.83,11.34,21.4,22.329710144927535,3.30096,1.0755540908739176,-5.434782608695651,0.38985537715187923,0.0,4
0.12083,0,2.89,0,0.445,8.069,76.0,3.4952,2,276.0,18.0,396.9,4.21,38.7,29.235507246376812,3.30096,0.9447215930279975,-5.434782608695651,0.19317652599605023,0.0,4
0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276.0,18.0,393.53,3.57,43.8,28.333333333333332,3.30096,0.5243838969726349,-5.434782608695651,0.17507858083944194,0.0,4
0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276.0,18.0,396.9,6.19,33.2,26.869565217391305,3.30096,0.860325428767762,-5.434782608695651,0.24722523497843713,0.0,4
0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,5,384.0,20.9,394.76,9.42,27.5,17.518229166666668,8.6111,1.2829711561705954,-7.682291666666664,0.49157411304987475,0.0,1
0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384.0,20.9,395.58,7.67,26.5,17.658854166666664,8.57195,1.14611348685083,-7.682291666666664,0.44289895650650757,0.0,1
0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,5,384.0,20.9,70.8,10.63,18.6,16.6796875,8.64265,1.3730023135991587,-7.682291666666664,0.5258629387085613,0.0,1
0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,5,384.0,20.9,394.47,13.44,19.3,15.981770833333332,8.64265,1.4711382672938318,-7.682291666666664,0.6032088081901129,0.0,1
0.1396,0,8.56,0,0.52,6.167,90.0,2.421,5,384.0,20.9,392.69,12.33,20.1,16.059895833333332,8.7895,1.4672856472735072,-7.682291666666664,0.5717702940793311,0.0,1
0.13262,0,8.56,0,0.52,5.851,96.7,2.1069,5,384.0,20.9,394.05,16.47,19.5,15.236979166666666,8.94655,1.650525087735651,-7.682291666666664,0.6859302511582797,0.0,1
0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384.0,20.9,395.67,18.66,19.5,15.197916666666668,8.8945,1.6615219776763828,-7.682291666666664,0.7467943446325569,0.0,1
0.13117,0,8.56,0,0.52,6.127,85.2,2.1224,5,384.0,20.9,387.69,14.09,20.4,15.955729166666666,8.9388,1.4664171950508833,-7.682291666666664,0.6202406643246609,0.0,1
0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,384.0,20.9,395.24,12.27,19.8,16.859375,8.78355,1.5387505124701706,-7.682291666666664,0.5699845085322693,0.0,1
0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384.0,20.9,391.23,15.55,19.4,16.221354166666668,8.72745,1.5684961378126068,-7.682291666666664,0.6620164585051576,0.0,1
0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384.0,20.9,393.49,13.0,21.7,16.1328125,8.6111,1.1191411681970673,-7.682291666666664,0.5899021896348149,0.0,1
0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,6,432.0,17.8,395.59,10.16,22.8,15.543981481481481,10.393499999999998,1.3764538617705968,-3.240740740740742,0.5670116093836994,0.0,0
0.12329,0,10.01,0,0.547,5.913,92.9,2.3534,6,432.0,17.8,394.95,16.21,18.8,13.6875,10.587959999999999,1.6597713378938443,-3.240740740740742,0.7342065468273749,0.0,0
0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432.0,17.8,396.9,17.09,18.7,14.101851851851851,10.471199999999998,1.7098005515353645,-3.240740740740742,0.7595999329052394,0.0,0
0.14231,0,10.01,0,0.547,6.254,84.2,2.2565,6,432.0,17.8,388.74,10.45,18.5,14.476851851851851,10.6461,1.4112325883286385,-3.240740740740742,0.5754799296905393,0.0,0
0.17134,0,10.01,0,0.547,5.928,88.2,2.4631,6,432.0,17.8,344.91,15.76,18.3,13.722222222222221,10.522139999999998,1.5989504118327753,-3.240740740740742,0.72232939869917,0.0,0
0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432.0,17.8,393.3,12.04,21.2,14.296296296296298,10.361939999999999,1.334612424777715,-3.240740740740742,0.6192334992630406,0.0,0
0.15098,0,10.01,0,0.547,6.021,82.6,2.7474,6,432.0,17.8,394.51,10.3,19.2,13.9375,10.351560000000001,1.3906156576024806,-3.240740740740742,0.5714383055524654,0.0,0
0.13058,0,10.01,0,0.547,5.872,73.1,2.4775,6,432.0,17.8,338.63,15.37,20.4,13.592592592592592,10.5135,1.4326790387006862,-3.240740740740742,0.7111096767226899,0.0,0
0.14476,0,10.01,0,0.547,5.731,65.2,2.7592,6,432.0,17.8,391.5,13.61,19.3,13.266203703703704,10.344479999999999,1.3027544940129085,-3.240740740740742,0.6627039350909988,0.0,0
0.06899,0,25.65,0,0.581,5.87,69.7,2.2577,2,188.0,19.1,389.15,14.37,22.0,31.22340425531915,3.5484600000000004,1.4400286194610032,-10.90425531914894,0.7527824487245057,0.0,4
0.07165,0,25.65,0,0.581,6.004,84.1,2.1974,2,188.0,19.1,377.67,14.27,20.3,31.936170212765955,3.56052,1.5855699584688305,-10.90425531914894,0.7500529645847083,0.0,4
0.09299,0,25.65,0,0.581,5.961,92.9,2.0869,2,188.0,19.1,378.09,17.93,20.5,31.70744680851064,3.5826200000000004,1.7771915542838912,-10.90425531914894,0.8512861985229431,0.0,4
0.15038,0,25.65,0,0.581,5.856,97.0,1.9444,2,188.0,19.1,370.31,25.41,17.3,31.148936170212764,3.6111199999999997,2.0258178311019,-10.90425531914894,1.0583330142902667,0.0,4
0.09849,0,25.65,0,0.581,5.879,95.8,2.0063,2,188.0,19.1,379.38,17.58,18.8,31.271276595744677,3.5987400000000003,1.7973998350440368,-10.90425531914894,0.8416901805522667,0.0,4
0.16902,0,25.65,0,0.581,5.986,88.4,1.9929,2,188.0,19.1,385.02,14.81,21.4,31.840425531914892,3.6014200000000005,1.64475486376889,-10.90425531914894,0.7660480421598419,0.0,4
0.38735,0,25.65,0,0.581,5.613,95.6,1.7572,2,188.0,19.1,359.29,27.26,15.7,29.856382978723406,3.64856,2.062448270579647,-10.90425531914894,1.1120450650767157,0.0,4
