年龄,性别,年收入（万元）,学历,婚姻状况,是否有车,是否有房,购买力（元）,是否购买
28,男,12.5,本科,未婚,否,否,3500,否
35,女,28.0,硕士,已婚,是,是,12800,是
42,男,45.0,博士,已婚,是,是,21000,是
24,女,8.5,大专,未婚,否,否,1200,否
31,男,18.0,本科,已婚,是,否,6800,是
45,女,32.0,本科,离异,是,是,14500,是
29,男,10.0,大专,未婚,否,否,2800,否
38,女,22.5,硕士,已婚,是,是,11200,是
52,男,60.0,博士,已婚,是,是,35000,是
26,女,9.0,本科,未婚,否,是,4500,否
33,男,15.0,高中,已婚,是,否,5200,是
48,女,40.0,硕士,已婚,是,是,19800,是
22,男,5.0,大专,未婚,否,否,800,否
39,男,25.0,本科,已婚,是,是,13500,是
55,女,38.0,本科,已婚,是,是,16200,是
30,男,14.0,硕士,未婚,是,否,7100,是
27,女,11.0,本科,未婚,否,否,3200,否
41,男,33.0,博士,离异,是,是,18900,是
36,女,19.0,大专,已婚,是,是,9400,是
23,男,6.5,高中,未婚,否,否,1500,否
47,女,48.0,硕士,已婚,是,是,22800,是
32,男,16.5,本科,已婚,否,是,8200,是
44,男,29.0,本科,离异,是,是,15600,是
25,女,8.0,大专,未婚,否,否,2100,否
50,男,52.0,博士,已婚,是,是,29800,是
34,女,20.0,硕士,已婚,是,是,10500,是
37,男,21.0,本科,已婚,是,是,11800,是
49,女,42.0,硕士,离异,是,是,20500,是
21,男,4.5,高中,未婚,否,否,600,否
46,男,35.0,博士,已婚,是,是,19200,是
40,女,26.0,本科,已婚,是,是,13200,是
53,男,58.0,博士,已婚,是,是,32000,是
43,女,31.0,硕士,已婚,是,是,17400,是
56,女,41.0,本科,已婚,是,是,18800,是
54,男,49.0,博士,已婚,是,是,27500,是
57,男,62.0,博士,已婚,是,是,38000,是
58,女,44.0,硕士,已婚,是,是,21500,是
59,男,55.0,博士,已婚,是,是,34000,是
60,女,36.0,本科,已婚,是,是,17000,是
61,男,24.5,硕士,未婚,是,否,8900,是
62,女,13.0,大专,离异,否,是,5600,否
63,男,17.0,本科,已婚,是,否,7500,是
64,女,14.5,硕士,未婚,否,否,4800,否
65,男,26.0,博士,已婚,是,是,14800,是
66,女,23.0,本科,已婚,是,是,12200,是
67,男,30.0,硕士,离异,是,是,16500,是
68,女,34.0,本科,已婚,是,是,15800,是
69,男,37.0,博士,已婚,是,是,19600,是
70,女,27.5,硕士,已婚,是,是,13900,是