日期,开盘(元),收盘(元),涨跌幅(%),最高(元),最低(元),成交量(手),成交金额(万元),换手率(%)
2026-04-30,6.92,6.92,-0.29,7.00,6.86,3607437,249902.22,0.11
2026-04-29,6.97,6.94,-0.57,7.00,6.85,3185611,220414.19,0.10
2026-04-28,6.90,6.98,0.87,6.99,6.87,2609718,180920.48,0.08
2026-04-27,7.02,6.92,-1.70,7.07,6.90,2422166,168509.41,0.08
2026-04-24,7.03,7.04,0.14,7.06,6.98,1961004,137847.80,0.06
2026-04-23,7.07,7.03,-0.57,7.11,7.02,2496937,176318.56,0.08
2026-04-22,7.18,7.07,-1.53,7.18,7.02,2737146,193867.89,0.09
2026-04-21,7.20,7.18,-0.14,7.29,7.15,2544182,183454.27,0.08
2026-04-20,7.05,7.19,1.84,7.22,7.04,3201580,229420.23,0.10
2026-04-17,7.00,7.06,0.86,7.12,6.98,3558279,251383.09,0.11
2026-04-16,6.93,7.00,0.72,7.10,6.91,4436728,311050.47,0.14
2026-04-15,6.74,6.95,2.81,6.97,6.73,5292553,367932.46,0.17
2026-04-14,6.60,6.76,1.81,6.79,6.60,3627734,244944.95,0.11
2026-04-13,6.60,6.64,0.76,6.67,6.55,2830751,187813.96,0.09
2026-04-10,6.57,6.59,-0.15,6.59,6.53,2207811,145557.25,0.07
2026-04-09,6.63,6.60,-0.45,6.67,6.56,2479778,163663.95,0.08
2026-04-08,6.62,6.63,-0.90,6.65,6.53,3708810,245228.80,0.12
2026-04-07,6.83,6.69,-2.19,6.85,6.66,3041104,204862.14,0.10
2026-04-03,6.93,6.84,-1.16,6.93,6.78,3653286,250732.29,0.11
2026-04-02,6.72,6.92,3.44,6.93,6.70,5626313,388565.54,0.18
2026-04-01,6.69,6.69,-0.15,6.78,6.66,3316882,221871.85,0.10